year,id,protocol_id,index
2019,6407,Income,1053
2019,6406,Income,1039
2019,6405,Income,1035
2019,6393,Income,1077
2019,6392,Income,1074
2019,6391,Income,1067
2019,6150,Income,1028
2019,6151,Income,1040
2019,6152,Income,1050
2019,6153,Income,1048
2019,4996,Income,1001
2019,4997,Income,993
2019,4998,Income,1000
2019,8957,Income,1106
2019,6390,Income,1060
2019,6378,Income,1061
2019,6377,Income,1083
2019,6376,Income,1112
2019,6375,Income,1125
2019,6363,Income,1061
2019,6362,Income,1083
2019,6165,Income,1205
2019,6166,Income,1222
2019,6167,Income,1227
2019,6168,Income,1262
2019,8956,Income,1078
2019,8955,Income,1078
2019,8943,Income,1069
2019,8403,Income,1027
2019,6361,Income,1112
2019,6360,Income,1125
2019,6348,Income,1141
2019,6347,Income,1139
2019,6346,Income,1133
2019,6345,Income,1126
2019,6333,Income,770
2019,6180,Income,1241
2019,6181,Income,1207
2019,6182,Income,1226
2019,6183,Income,1289
2019,8402,Income,1024
2019,8401,Income,1033
2019,8400,Income,1026
2019,8388,Income,998
2019,6332,Income,781
2019,6331,Income,814
2019,6330,Income,817
2019,6318,Income,1259
2019,6317,Income,1249
2019,6316,Income,1232
2019,6315,Income,1208
2019,6195,Income,1003
2019,6196,Income,1003
2019,6197,Income,1008
2019,6198,Income,1008
2019,8387,Income,982
2019,8386,Income,985
2019,5010,Income,1046
2019,5011,Income,1048
2019,6303,Income,1070
2019,6302,Income,1047
2019,6301,Income,1048
2019,6300,Income,1052
2019,4575,Income,1027
2019,6288,Income,1002
2019,6287,Income,992
2019,6210,Income,1086
2019,6211,Income,1086
2019,6212,Income,1114
2019,6213,Income,1114
2019,5012,Income,1056
2019,5013,Income,1063
2019,8942,Income,1069
2019,8941,Income,1062
2019,6286,Income,993
2019,6285,Income,990
2019,6273,Income,1159
2019,6272,Income,1150
2019,6271,Income,1141
2019,6270,Income,1126
2019,6258,Income,1163
2019,6225,Income,1142
2019,6226,Income,1142
2019,6227,Income,1142
2019,6228,Income,1142
2019,8940,Income,1062
2019,4695,Income,1626
2019,8385,Income,977
2019,8373,Income,1004
2019,6257,Income,1163
2019,6256,Income,1163
2019,6255,Income,1163
2019,6243,Income,912
2019,6242,Income,912
2019,6241,Income,912
2019,6240,Income,912
2019,8372,Income,990
2019,8371,Income,994
2019,8370,Income,986
2019,8358,Income,1641
2019,8357,Income,1641
2019,5025,Income,1157
2019,5026,Income,1160
2019,5027,Income,1187
2019,5028,Income,1199
2019,4696,Income,1627
2019,4697,Income,1627
2019,4698,Income,1627
2019,4608,Income,1083
2019,8356,Income,1641
2019,8355,Income,1640
2019,8343,Income,1035
2019,8342,Income,1043
2019,8341,Income,1040
2019,8340,Income,1032
2019,8328,Income,1164
2019,5040,Income,897
2019,5041,Income,912
2019,5042,Income,919
2019,5043,Income,936
2019,9137,Income,1063
2019,9136,Income,1058
2019,9135,Income,1053
2019,8928,Income,1293
2019,8327,Income,1170
2019,8326,Income,1168
2019,8325,Income,1161
2019,8313,Income,1133
2019,8312,Income,1126
2019,8311,Income,1118
2019,8310,Income,1104
2019,5055,Income,992
2019,5056,Income,964
2019,5057,Income,965
2019,5058,Income,958
2019,8927,Income,1238
2019,8926,Income,1222
2019,8925,Income,1248
2019,8913,Income,1228
2019,8298,Income,1031
2019,8297,Income,1047
2019,8296,Income,1028
2019,8295,Income,1023
2019,8283,Income,1009
2019,8282,Income,1009
2019,8281,Income,1003
2019,5070,Income,883
2019,5071,Income,922
2019,5072,Income,926
2019,5073,Income,937
2019,8912,Income,1188
2019,8911,Income,1190
2019,4710,Income,1011
2019,4711,Income,1019
2019,8280,Income,1001
2019,8268,Income,1065
2019,8267,Income,1053
2019,8266,Income,1017
2019,8265,Income,1018
2019,8253,Income,989
2019,8252,Income,1073
2019,5085,Income,950
2019,5086,Income,1007
2019,5087,Income,1000
2019,5088,Income,1016
2019,4712,Income,1010
2019,4713,Income,1019
2019,9123,Income,1097
2019,9091,Income,1149
2019,8251,Income,1052
2019,8250,Income,1032
2019,8238,Income,1052
2019,8237,Income,1062
2019,8236,Income,1047
2019,8235,Income,1039
2019,8223,Income,1073
2019,5100,Income,921
2019,5101,Income,892
2019,5102,Income,915
2019,5103,Income,980
2019,9090,Income,1144
2019,9078,Income,821
2019,8910,Income,1184
2019,8898,Income,1072
2019,8222,Income,1070
2019,8221,Income,1064
2019,8220,Income,1059
2019,8208,Income,1085
2019,8207,Income,1105
2019,8206,Income,1135
2019,8205,Income,1150
2019,5115,Income,966
2019,5116,Income,966
2019,5117,Income,955
2019,5118,Income,942
2019,8897,Income,1067
2019,8896,Income,1055
2019,8895,Income,1052
2019,8883,Income,1046
2019,8193,Income,1085
2019,8192,Income,1105
2019,8191,Income,1135
